drug_name,state,female_total_percent,row_rank
LEVOTHYROXINE SODIUM,AK,0.476333149,4
LEVOTHYROXINE SODIUM,AL,0.515305571,3
LEVOTHYROXINE SODIUM,AR,0.508944892,4
LEVOTHYROXINE SODIUM,AZ,0.503053824,5
LEVOTHYROXINE SODIUM,CA,0.503710239,5
LEVOTHYROXINE SODIUM,CO,0.498095083,5
LEVOTHYROXINE SODIUM,CT,0.512388567,4
LEVOTHYROXINE SODIUM,DE,0.515971804,5
LEVOTHYROXINE SODIUM,FL,0.511412855,5
LEVOTHYROXINE SODIUM,GA,0.512631617,3
LEVOTHYROXINE SODIUM,IA,0.503431264,5
LEVOTHYROXINE SODIUM,ID,0.49908406,5
LEVOTHYROXINE SODIUM,IL,0.509300754,5
LEVOTHYROXINE SODIUM,IN,0.507334184,4
LEVOTHYROXINE SODIUM,KS,0.502091209,5
LEVOTHYROXINE SODIUM,KY,0.507469165,3
LEVOTHYROXINE SODIUM,LA,0.510620879,3
LEVOTHYROXINE SODIUM,MA,0.515221817,2
LEVOTHYROXINE SODIUM,MD,0.515582187,3
LEVOTHYROXINE SODIUM,ME,0.510336239,4
LEVOTHYROXINE SODIUM,MI,0.508581199,4
LEVOTHYROXINE SODIUM,MN,0.502934924,3
LEVOTHYROXINE SODIUM,MO,0.50944701,4
LEVOTHYROXINE SODIUM,MS,0.514374004,2
LEVOTHYROXINE SODIUM,MT,0.497114601,5
LEVOTHYROXINE SODIUM,NC,0.51321806,5
LEVOTHYROXINE SODIUM,ND,0.487733269,5
LEVOTHYROXINE SODIUM,NE,0.502043025,5
LEVOTHYROXINE SODIUM,NH,0.505536093,5
LEVOTHYROXINE SODIUM,NJ,0.512327169,5
LEVOTHYROXINE SODIUM,NM,0.504976148,5
LEVOTHYROXINE SODIUM,NV,0.497327539,3
LEVOTHYROXINE SODIUM,NY,0.515178706,4
LEVOTHYROXINE SODIUM,OH,0.510560473,5
LEVOTHYROXINE SODIUM,OK,0.504516157,4
LEVOTHYROXINE SODIUM,OR,0.505067566,5
LEVOTHYROXINE SODIUM,PA,0.511012438,5
LEVOTHYROXINE SODIUM,RI,0.514985757,1
LEVOTHYROXINE SODIUM,SC,0.514290003,3
LEVOTHYROXINE SODIUM,SD,0.496574725,5
LEVOTHYROXINE SODIUM,TN,0.512254971,4
LEVOTHYROXINE SODIUM,TX,0.503757093,4
LEVOTHYROXINE SODIUM,UT,0.497162123,5
LEVOTHYROXINE SODIUM,VA,0.508295459,5
LEVOTHYROXINE SODIUM,VT,0.506544959,3
LEVOTHYROXINE SODIUM,WA,0.500681607,4
LEVOTHYROXINE SODIUM,WI,0.503245661,5
LEVOTHYROXINE SODIUM,WV,0.505946778,4
LEVOTHYROXINE SODIUM,WY,0.489515579,5